instrument,style,timeframe,start_date,end_date,n_trades,win_rate,net_pnl,profit_factor,run_at
TLT,swing,1d,2024-07-06,2026-07-06,16,31.2,-2725.56,0.392,2026-07-06T18:21:15Z
TLT,position,1d,2024-07-06,2026-07-06,6,0.0,-4417.59,0.0,2026-07-06T18:21:25Z
XLK,scalp,15m,2024-07-06,2026-07-06,47,53.2,881.93,1.122,2026-07-06T18:21:27Z
XLK,intraday,1h,2024-07-06,2026-07-06,142,35.2,3073.1,1.096,2026-07-06T18:21:32Z
XLK,swing,1d,2024-07-06,2026-07-06,29,58.6,4657.05,2.121,2026-07-06T18:21:42Z
XLK,position,1d,2024-07-06,2026-07-06,12,58.3,3658.24,2.25,2026-07-06T18:21:52Z
XLE,scalp,15m,2024-07-06,2026-07-06,41,48.8,1290.34,1.258,2026-07-06T18:21:54Z
XLE,intraday,1h,2024-07-06,2026-07-06,138,34.8,-4874.74,0.836,2026-07-06T18:21:58Z
XLE,swing,1d,2024-07-06,2026-07-06,25,40.0,-1739.26,0.691,2026-07-06T18:22:09Z
XLE,position,1d,2024-07-06,2026-07-06,9,33.3,-1326.68,0.501,2026-07-06T18:22:19Z
XLF,scalp,15m,2024-07-06,2026-07-06,43,27.9,-4177.45,0.386,2026-07-06T18:22:21Z
XLF,intraday,1h,2024-07-06,2026-07-06,125,30.4,-7275.64,0.72,2026-07-06T18:22:26Z
XLF,swing,1d,2024-07-06,2026-07-06,19,36.8,-2169.76,0.483,2026-07-06T18:22:37Z
XLF,position,1d,2024-07-06,2026-07-06,9,33.3,-819.97,0.758,2026-07-06T18:22:46Z
ARKK,scalp,15m,2024-07-06,2026-07-06,42,45.2,2428.63,1.466,2026-07-06T18:22:48Z
ARKK,intraday,1h,2024-07-06,2026-07-06,141,36.2,-565.26,0.985,2026-07-06T18:22:52Z
ARKK,swing,1d,2024-07-06,2026-07-06,35,57.1,1076.8,1.149,2026-07-06T18:23:02Z
ARKK,position,1d,2024-07-06,2026-07-06,9,44.4,928.62,1.392,2026-07-06T18:23:12Z
SMH,scalp,15m,2024-07-06,2026-07-06,43,44.2,-1825.31,0.791,2026-07-06T18:23:13Z
SMH,intraday,1h,2024-07-06,2026-07-06,164,32.9,10853.05,1.269,2026-07-06T18:23:18Z
SMH,swing,1d,2024-07-06,2026-07-06,32,59.4,5331.32,1.989,2026-07-06T18:23:28Z
SMH,position,1d,2024-07-06,2026-07-06,12,58.3,5291.66,3.073,2026-07-06T18:23:40Z
SOXX,scalp,15m,2024-07-06,2026-07-06,43,44.2,-98.21,0.99,2026-07-06T18:23:41Z
SOXX,intraday,1h,2024-07-06,2026-07-06,135,37.0,14435.71,1.439,2026-07-06T18:23:46Z
SOXX,swing,1d,2024-07-06,2026-07-06,34,64.7,6233.39,2.379,2026-07-06T18:23:56Z
